Points_0,Points_1,Points_2,sigma_0,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5
4.200000e-02,7.519531e-01,5.000000e-02,6.126426e-04,-6.176603e-03,0.000000e+00,-4.994826e-03,0.000000e+00,0.000000e+00
4.300000e-02,7.519531e-01,5.000000e-02,6.230308e-04,-6.098924e-03,0.000000e+00,-4.949009e-03,0.000000e+00,0.000000e+00
4.400000e-02,7.519531e-01,5.000000e-02,6.334189e-04,-6.021244e-03,0.000000e+00,-4.903191e-03,0.000000e+00,0.000000e+00
4.500000e-02,7.519531e-01,5.000000e-02,6.438071e-04,-5.943565e-03,0.000000e+00,-4.857374e-03,0.000000e+00,0.000000e+00
4.600000e-02,7.519531e-01,5.000000e-02,6.541953e-04,-5.865885e-03,0.000000e+00,-4.811557e-03,0.000000e+00,0.000000e+00
4.700000e-02,7.519531e-01,5.000000e-02,6.644448e-04,-5.789427e-03,0.000000e+00,-4.766131e-03,0.000000e+00,0.000000e+00
4.800000e-02,7.519531e-01,5.000000e-02,6.737235e-04,-5.721512e-03,0.000000e+00,-4.723449e-03,0.000000e+00,0.000000e+00
4.900000e-02,7.519531e-01,5.000000e-02,6.830022e-04,-5.653597e-03,0.000000e+00,-4.680767e-03,0.000000e+00,0.000000e+00
5.000000e-02,7.519531e-01,5.000000e-02,6.922809e-04,-5.585682e-03,0.000000e+00,-4.638085e-03,0.000000e+00,0.000000e+00
5.100000e-02,7.519531e-01,5.000000e-02,7.015595e-04,-5.517768e-03,0.000000e+00,-4.595402e-03,0.000000e+00,0.000000e+00
5.200000e-02,7.519531e-01,5.000000e-02,7.108382e-04,-5.449852e-03,0.000000e+00,-4.552720e-03,0.000000e+00,0.000000e+00
5.300000e-02,7.519531e-01,5.000000e-02,7.201169e-04,-5.381938e-03,0.000000e+00,-4.510038e-03,0.000000e+00,0.000000e+00
5.400000e-02,7.519531e-01,5.000000e-02,7.293956e-04,-5.314023e-03,0.000000e+00,-4.467355e-03,0.000000e+00,0.000000e+00
5.500000e-02,7.519531e-01,5.000000e-02,7.383605e-04,-5.248938e-03,0.000000e+00,-4.425627e-03,0.000000e+00,0.000000e+00
5.600000e-02,7.519531e-01,5.000000e-02,7.466351e-04,-5.190076e-03,0.000000e+00,-4.385999e-03,0.000000e+00,0.000000e+00
5.700000e-02,7.519531e-01,5.000000e-02,7.549096e-04,-5.131214e-03,0.000000e+00,-4.346370e-03,0.000000e+00,0.000000e+00
5.800000e-02,7.519531e-01,5.000000e-02,7.631842e-04,-5.072353e-03,0.000000e+00,-4.306742e-03,0.000000e+00,0.000000e+00
5.900000e-02,7.519531e-01,5.000000e-02,7.714587e-04,-5.013491e-03,0.000000e+00,-4.267113e-03,0.000000e+00,0.000000e+00
6.000000e-02,7.519531e-01,5.000000e-02,7.797333e-04,-4.954630e-03,0.000000e+00,-4.227485e-03,0.000000e+00,0.000000e+00
6.100000e-02,7.519531e-01,5.000000e-02,7.880079e-04,-4.895768e-03,0.000000e+00,-4.187856e-03,0.000000e+00,0.000000e+00
6.200000e-02,7.519531e-01,5.000000e-02,7.962824e-04,-4.836906e-03,0.000000e+00,-4.148228e-03,0.000000e+00,0.000000e+00
6.300000e-02,7.519531e-01,5.000000e-02,8.041176e-04,-4.782186e-03,0.000000e+00,-4.110065e-03,0.000000e+00,0.000000e+00
6.400000e-02,7.519531e-01,5.000000e-02,8.115135e-04,-4.731607e-03,0.000000e+00,-4.073367e-03,0.000000e+00,0.000000e+00
6.500000e-02,7.519531e-01,5.000000e-02,8.189093e-04,-4.681029e-03,0.000000e+00,-4.036670e-03,0.000000e+00,0.000000e+00
6.600000e-02,7.519531e-01,5.000000e-02,8.263051e-04,-4.630450e-03,0.000000e+00,-3.999972e-03,0.000000e+00,0.000000e+00
6.700000e-02,7.519531e-01,5.000000e-02,8.337010e-04,-4.579871e-03,0.000000e+00,-3.963274e-03,0.000000e+00,0.000000e+00
6.800000e-02,7.519531e-01,5.000000e-02,8.410969e-04,-4.529293e-03,0.000000e+00,-3.926577e-03,0.000000e+00,0.000000e+00
6.900000e-02,7.519531e-01,5.000000e-02,8.484927e-04,-4.478714e-03,0.000000e+00,-3.889879e-03,0.000000e+00,0.000000e+00
7.000000e-02,7.519531e-01,5.000000e-02,8.558885e-04,-4.428136e-03,0.000000e+00,-3.853181e-03,0.000000e+00,0.000000e+00
7.100000e-02,7.519531e-01,5.000000e-02,8.627532e-04,-4.382688e-03,0.000000e+00,-3.818401e-03,0.000000e+00,0.000000e+00
7.200000e-02,7.519531e-01,5.000000e-02,8.693764e-04,-4.339573e-03,0.000000e+00,-3.784493e-03,0.000000e+00,0.000000e+00
7.300000e-02,7.519531e-01,5.000000e-02,8.759995e-04,-4.296457e-03,0.000000e+00,-3.750585e-03,0.000000e+00,0.000000e+00
7.400000e-02,7.519531e-01,5.000000e-02,8.826227e-04,-4.253342e-03,0.000000e+00,-3.716676e-03,0.000000e+00,0.000000e+00
7.500000e-02,7.519531e-01,5.000000e-02,8.892459e-04,-4.210227e-03,0.000000e+00,-3.682768e-03,0.000000e+00,0.000000e+00
7.600000e-02,7.519531e-01,5.000000e-02,8.958690e-04,-4.167111e-03,0.000000e+00,-3.648860e-03,0.000000e+00,0.000000e+00
7.700000e-02,7.519531e-01,5.000000e-02,9.024923e-04,-4.123996e-03,0.000000e+00,-3.614951e-03,0.000000e+00,0.000000e+00
7.800000e-02,7.519531e-01,5.000000e-02,9.091154e-04,-4.080880e-03,0.000000e+00,-3.581043e-03,0.000000e+00,0.000000e+00
7.900000e-02,7.519531e-01,5.000000e-02,9.151139e-04,-4.043584e-03,0.000000e+00,-3.549479e-03,0.000000e+00,0.000000e+00
8.000000e-02,7.519531e-01,5.000000e-02,9.210230e-04,-4.007119e-03,0.000000e+00,-3.518250e-03,0.000000e+00,0.000000e+00
8.100000e-02,7.519531e-01,5.000000e-02,9.269323e-04,-3.970653e-03,0.000000e+00,-3.487021e-03,0.000000e+00,0.000000e+00
8.200000e-02,7.519531e-01,5.000000e-02,9.328414e-04,-3.934188e-03,0.000000e+00,-3.455792e-03,0.000000e+00,0.000000e+00
8.300000e-02,7.519531e-01,5.000000e-02,9.387506e-04,-3.897723e-03,0.000000e+00,-3.424563e-03,0.000000e+00,0.000000e+00
8.400000e-02,7.519531e-01,5.000000e-02,9.446598e-04,-3.861258e-03,0.000000e+00,-3.393334e-03,0.000000e+00,0.000000e+00
8.500000e-02,7.519531e-01,5.000000e-02,9.505691e-04,-3.824792e-03,0.000000e+00,-3.362105e-03,0.000000e+00,0.000000e+00
8.600000e-02,7.519531e-01,5.000000e-02,9.564416e-04,-3.788699e-03,0.000000e+00,-3.331036e-03,0.000000e+00,0.000000e+00
8.700000e-02,7.519531e-01,5.000000e-02,9.617649e-04,-3.758179e-03,0.000000e+00,-3.302365e-03,0.000000e+00,0.000000e+00
8.800000e-02,7.519531e-01,5.000000e-02,9.670882e-04,-3.727659e-03,0.000000e+00,-3.273695e-03,0.000000e+00,0.000000e+00
8.900000e-02,7.519531e-01,5.000000e-02,9.724114e-04,-3.697140e-03,0.000000e+00,-3.245024e-03,0.000000e+00,0.000000e+00
9.000000e-02,7.519531e-01,5.000000e-02,9.777347e-04,-3.666620e-03,0.000000e+00,-3.216353e-03,0.000000e+00,0.000000e+00
9.100000e-02,7.519531e-01,5.000000e-02,9.830579e-04,-3.636100e-03,0.000000e+00,-3.187682e-03,0.000000e+00,0.000000e+00
9.200000e-02,7.519531e-01,5.000000e-02,9.883812e-04,-3.605581e-03,0.000000e+00,-3.159011e-03,0.000000e+00,0.000000e+00
9.300000e-02,7.519531e-01,5.000000e-02,9.937044e-04,-3.575061e-03,0.000000e+00,-3.130340e-03,0.000000e+00,0.000000e+00
9.400000e-02,7.519531e-01,5.000000e-02,9.986026e-04,-3.545530e-03,0.000000e+00,-3.102474e-03,0.000000e+00,0.000000e+00
9.500000e-02,7.519531e-01,5.000000e-02,1.002225e-03,-3.518964e-03,0.000000e+00,-3.077019e-03,0.000000e+00,0.000000e+00
9.600000e-02,7.519531e-01,5.000000e-02,1.005848e-03,-3.492399e-03,0.000000e+00,-3.051564e-03,0.000000e+00,0.000000e+00
9.700000e-02,7.519531e-01,5.000000e-02,1.009471e-03,-3.465833e-03,0.000000e+00,-3.026109e-03,0.000000e+00,0.000000e+00
9.800000e-02,7.519531e-01,5.000000e-02,1.013093e-03,-3.439268e-03,0.000000e+00,-3.000655e-03,0.000000e+00,0.000000e+00
9.900000e-02,7.519531e-01,5.000000e-02,1.016716e-03,-3.412703e-03,0.000000e+00,-2.975200e-03,0.000000e+00,0.000000e+00
1.000000e-01,7.519531e-01,5.000000e-02,1.020339e-03,-3.386137e-03,0.000000e+00,-2.949745e-03,0.000000e+00,0.000000e+00
1.010000e-01,7.519531e-01,5.000000e-02,1.023961e-03,-3.359572e-03,0.000000e+00,-2.924290e-03,0.000000e+00,0.000000e+00
1.020000e-01,7.519531e-01,5.000000e-02,1.027974e-03,-3.335517e-03,0.000000e+00,-2.899398e-03,0.000000e+00,0.000000e+00
1.030000e-01,7.519531e-01,5.000000e-02,1.032487e-03,-3.314690e-03,0.000000e+00,-2.875229e-03,0.000000e+00,0.000000e+00
1.040000e-01,7.519531e-01,5.000000e-02,1.037001e-03,-3.293862e-03,0.000000e+00,-2.851060e-03,0.000000e+00,0.000000e+00
1.050000e-01,7.519531e-01,5.000000e-02,1.041514e-03,-3.273035e-03,0.000000e+00,-2.826891e-03,0.000000e+00,0.000000e+00
1.060000e-01,7.519531e-01,5.000000e-02,1.046028e-03,-3.252208e-03,0.000000e+00,-2.802722e-03,0.000000e+00,0.000000e+00
1.070000e-01,7.519531e-01,5.000000e-02,1.050541e-03,-3.231380e-03,0.000000e+00,-2.778553e-03,0.000000e+00,0.000000e+00
1.080000e-01,7.519531e-01,5.000000e-02,1.055054e-03,-3.210553e-03,0.000000e+00,-2.754384e-03,0.000000e+00,0.000000e+00
1.090000e-01,7.519531e-01,5.000000e-02,1.059568e-03,-3.189726e-03,0.000000e+00,-2.730215e-03,0.000000e+00,0.000000e+00
1.100000e-01,7.519531e-01,5.000000e-02,1.064580e-03,-3.172060e-03,0.000000e+00,-2.706793e-03,0.000000e+00,0.000000e+00
1.110000e-01,7.519531e-01,5.000000e-02,1.069892e-03,-3.156292e-03,0.000000e+00,-2.683818e-03,0.000000e+00,0.000000e+00
1.120000e-01,7.519531e-01,5.000000e-02,1.075204e-03,-3.140523e-03,0.000000e+00,-2.660843e-03,0.000000e+00,0.000000e+00
1.130000e-01,7.519531e-01,5.000000e-02,1.080516e-03,-3.124754e-03,0.000000e+00,-2.637869e-03,0.000000e+00,0.000000e+00
1.140000e-01,7.519531e-01,5.000000e-02,1.085828e-03,-3.108986e-03,0.000000e+00,-2.614894e-03,0.000000e+00,0.000000e+00
1.150000e-01,7.519531e-01,5.000000e-02,1.091140e-03,-3.093217e-03,0.000000e+00,-2.591919e-03,0.000000e+00,0.000000e+00
1.160000e-01,7.519531e-01,5.000000e-02,1.096452e-03,-3.077449e-03,0.000000e+00,-2.568944e-03,0.000000e+00,0.000000e+00
1.170000e-01,7.519531e-01,5.000000e-02,1.101764e-03,-3.061680e-03,0.000000e+00,-2.545970e-03,0.000000e+00,0.000000e+00
1.180000e-01,7.519531e-01,5.000000e-02,1.105573e-03,-3.047385e-03,0.000000e+00,-2.525406e-03,0.000000e+00,0.000000e+00
1.190000e-01,7.519531e-01,5.000000e-02,1.109034e-03,-3.033431e-03,0.000000e+00,-2.505399e-03,0.000000e+00,0.000000e+00
1.200000e-01,7.519531e-01,5.000000e-02,1.112496e-03,-3.019477e-03,0.000000e+00,-2.485392e-03,0.000000e+00,0.000000e+00
1.210000e-01,7.519531e-01,5.000000e-02,1.115958e-03,-3.005523e-03,0.000000e+00,-2.465385e-03,0.000000e+00,0.000000e+00
1.220000e-01,7.519531e-01,5.000000e-02,1.119420e-03,-2.991569e-03,0.000000e+00,-2.445377e-03,0.000000e+00,0.000000e+00
1.230000e-01,7.519531e-01,5.000000e-02,1.122882e-03,-2.977614e-03,0.000000e+00,-2.425370e-03,0.000000e+00,0.000000e+00
1.240000e-01,7.519531e-01,5.000000e-02,1.126344e-03,-2.963660e-03,0.000000e+00,-2.405363e-03,0.000000e+00,0.000000e+00
1.250000e-01,7.519531e-01,5.000000e-02,1.129806e-03,-2.949706e-03,0.000000e+00,-2.385356e-03,0.000000e+00,0.000000e+00
1.260000e-01,7.519531e-01,5.000000e-02,1.132945e-03,-2.938551e-03,0.000000e+00,-2.367332e-03,0.000000e+00,0.000000e+00
1.270000e-01,7.519531e-01,5.000000e-02,1.136085e-03,-2.927396e-03,0.000000e+00,-2.349308e-03,0.000000e+00,0.000000e+00
1.280000e-01,7.519531e-01,5.000000e-02,1.139224e-03,-2.916242e-03,0.000000e+00,-2.331285e-03,0.000000e+00,0.000000e+00
1.290000e-01,7.519531e-01,5.000000e-02,1.142363e-03,-2.905087e-03,0.000000e+00,-2.313262e-03,0.000000e+00,0.000000e+00
1.300000e-01,7.519531e-01,5.000000e-02,1.145503e-03,-2.893932e-03,0.000000e+00,-2.295238e-03,0.000000e+00,0.000000e+00
1.310000e-01,7.519531e-01,5.000000e-02,1.148642e-03,-2.882777e-03,0.000000e+00,-2.277215e-03,0.000000e+00,0.000000e+00
1.320000e-01,7.519531e-01,5.000000e-02,1.151782e-03,-2.871623e-03,0.000000e+00,-2.259191e-03,0.000000e+00,0.000000e+00
1.330000e-01,7.519531e-01,5.000000e-02,1.154900e-03,-2.860954e-03,0.000000e+00,-2.241485e-03,0.000000e+00,0.000000e+00
1.340000e-01,7.519531e-01,5.000000e-02,1.157927e-03,-2.852395e-03,0.000000e+00,-2.225157e-03,0.000000e+00,0.000000e+00
1.350000e-01,7.519531e-01,5.000000e-02,1.160954e-03,-2.843836e-03,0.000000e+00,-2.208829e-03,0.000000e+00,0.000000e+00
1.360000e-01,7.519531e-01,5.000000e-02,1.163981e-03,-2.835277e-03,0.000000e+00,-2.192501e-03,0.000000e+00,0.000000e+00
1.370000e-01,7.519531e-01,5.000000e-02,1.167008e-03,-2.826718e-03,0.000000e+00,-2.176173e-03,0.000000e+00,0.000000e+00
1.380000e-01,7.519531e-01,5.000000e-02,1.170035e-03,-2.818159e-03,0.000000e+00,-2.159846e-03,0.000000e+00,0.000000e+00
